S.no,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Suggestions,Sentiment
26,864,9,8,5,2,3,9,2,8,Include more practicals,Positive
27,861,5,6,4,5,4,4,6,6,Helped clear my doubts clearly,Positive
28,118,9,10,7,7,4,6,9,1,"Too much theory, less engagement",Neutral
29,387,7,3,8,1,6,8,6,8,Loved the interactive session,Positive
30,282,5,6,7,3,8,1,1,9,Very helpful and interactive session,Positive
31,503,8,6,6,3,3,6,4,10,The class was too fast paced,Positive
32,934,5,6,4,6,10,3,4,10,Great use of visuals,Positive
33,781,8,3,4,5,1,8,10,5,More examples should be added,Positive
34,898,10,10,4,3,5,4,2,1,Explain topics in a simpler way,Neutral
35,474,8,3,7,6,4,3,7,7,Assignments were challenging,Positive
36,704,9,9,8,6,8,4,8,5,Include more practicals,Positive
37,977,9,5,4,4,6,3,1,9,Helped clear my doubts clearly,Positive
38,454,9,6,6,1,10,8,10,7,"Too much theory, less engagement",Neutral
39,295,5,7,6,3,1,7,2,9,Loved the interactive session,Positive
40,35,10,6,4,5,6,2,3,1,Very helpful and interactive session,Positive
41,304,9,9,4,6,5,1,7,2,The class was too fast paced,Positive
42,56,6,9,6,8,9,6,2,4,Great use of visuals,Positive
43,922,8,10,7,4,5,9,3,5,More examples should be added,Positive
44,569,10,7,6,9,2,6,2,5,Explain topics in a simpler way,Neutral
45,186,6,4,4,4,6,9,10,10,Assignments were challenging,Positive
46,258,7,2,7,2,7,2,6,10,Include more practicals,Positive
47,560,8,7,8,3,8,7,4,8,Helped clear my doubts clearly,Positive
48,621,10,4,5,1,5,10,1,10,"Too much theory, less engagement",Neutral
49,568,10,7,4,6,10,8,10,8,Loved the interactive session,Positive
50,393,6,9,8,7,5,8,1,4,Very helpful and interactive session,Positive
51,12,8,10,7,2,8,9,6,6,The class was too fast paced,Positive
52,798,7,2,8,7,10,5,3,5,Great use of visuals,Positive
53,740,8,10,7,3,2,10,10,1,More examples should be added,Positive
54,184,10,9,8,6,4,8,8,9,Explain topics in a simpler way,Neutral
55,410,7,2,5,2,6,6,3,10,Assignments were challenging,Positive
56,480,10,6,7,8,5,3,1,5,Include more practicals,Positive
57,84,7,4,6,10,7,7,8,9,Helped clear my doubts clearly,Positive
58,89,9,9,4,5,1,2,3,9,"Too much theory, less engagement",Neutral
59,763,6,9,6,7,6,10,2,5,Loved the interactive session,Positive
60,86,7,8,6,8,3,10,2,7,Very helpful and interactive session,Positive
61,867,6,4,6,4,2,7,5,3,The class was too fast paced,Positive
62,248,6,6,4,6,6,6,2,3,Great use of visuals,Positive
63,751,7,3,8,10,2,7,2,6,More examples should be added,Positive
64,522,6,9,8,10,9,5,3,6,Explain topics in a simpler way,Neutral
65,696,5,5,4,9,3,1,8,6,Assignments were challenging,Positive
66,274,8,2,4,7,10,8,5,8,Include more practicals,Positive
67,921,9,7,5,10,10,9,6,4,Helped clear my doubts clearly,Positive
68,957,6,2,7,8,5,9,5,4,"Too much theory, less engagement",Neutral
69,88,9,4,4,9,9,9,7,10,Loved the interactive session,Positive
70,149,5,6,5,1,8,9,7,8,Very helpful and interactive session,Positive
71,737,7,9,4,5,5,2,2,1,The class was too fast paced,Positive
72,891,7,2,4,9,6,9,7,9,Great use of visuals,Positive
73,1,9,6,8,7,6,5,3,10,More examples should be added,Positive
74,868,7,9,7,2,6,2,9,4,Explain topics in a simpler way,Neutral
75,895,5,5,7,7,2,1,8,9,Assignments were challenging,Positive
76,638,9,10,8,2,1,1,4,8,Include more practicals,Positive
77,707,5,6,6,5,1,9,6,9,Helped clear my doubts clearly,Positive
78,432,9,9,6,8,2,3,2,4,"Too much theory, less engagement",Neutral
79,988,7,4,6,7,6,9,7,1,Loved the interactive session,Positive
80,742,7,7,8,2,1,1,8,1,Very helpful and interactive session,Positive
81,730,6,5,4,5,6,6,7,2,The class was too fast paced,Positive
82,321,5,7,6,2,3,5,3,5,Great use of visuals,Positive
83,904,8,5,8,9,7,9,8,6,More examples should be added,Positive
84,171,6,10,4,6,1,6,2,3,Explain topics in a simpler way,Neutral
85,695,10,4,4,1,5,8,7,1,Assignments were challenging,Positive
86,498,8,5,4,5,10,7,1,10,Include more practicals,Positive
87,446,7,8,5,10,10,2,5,9,Helped clear my doubts clearly,Positive
88,982,9,10,7,5,6,6,1,5,"Too much theory, less engagement",Neutral
89,981,7,6,7,5,4,6,8,3,Loved the interactive session,Positive
90,849,6,10,6,7,7,4,10,7,Very helpful and interactive session,Positive
91,297,7,10,6,8,10,10,2,8,The class was too fast paced,Positive
92,713,8,6,7,5,2,7,10,8,Great use of visuals,Positive
93,192,8,4,8,6,3,5,1,5,More examples should be added,Positive
94,561,9,6,4,8,6,8,3,3,Explain topics in a simpler way,Neutral
95,364,6,6,7,9,6,4,7,6,Assignments were challenging,Positive
96,40,6,7,5,6,10,5,6,3,Include more practicals,Positive
97,521,5,9,4,2,1,8,3,7,Helped clear my doubts clearly,Positive
98,201,8,2,8,9,8,8,9,4,"Too much theory, less engagement",Neutral
99,780,6,4,4,10,6,5,6,8,Loved the interactive session,Positive
100,853,7,9,4,8,9,4,10,2,Very helpful and interactive session,Positive
101,202,5,6,6,10,3,4,2,8,The class was too fast paced,Positive
102,421,6,3,8,10,6,8,7,9,Great use of visuals,Positive
103,671,9,8,6,10,10,7,7,8,More examples should be added,Positive
104,334,5,9,4,3,8,10,4,2,Explain topics in a simpler way,Neutral
105,843,6,8,5,4,5,5,10,6,Assignments were challenging,Positive
106,57,10,7,6,10,4,4,2,4,Include more practicals,Positive
107,353,6,7,5,3,6,6,7,5,Helped clear my doubts clearly,Positive
108,681,7,2,7,5,2,1,3,7,"Too much theory, less engagement",Neutral
109,394,6,3,6,10,7,4,3,3,Loved the interactive session,Positive
110,188,7,6,8,9,9,8,9,10,Very helpful and interactive session,Positive
111,641,5,10,6,7,4,2,5,4,The class was too fast paced,Positive
112,544,10,7,8,4,6,5,7,8,Great use of visuals,Positive
113,163,9,3,4,7,3,8,6,8,More examples should be added,Positive
114,283,9,2,6,1,2,10,5,5,Explain topics in a simpler way,Neutral
115,820,6,5,4,9,2,5,10,7,Assignments were challenging,Positive
116,254,6,6,6,8,9,4,4,8,Include more practicals,Positive
117,221,9,6,8,1,8,2,5,6,Helped clear my doubts clearly,Positive
118,736,8,2,8,8,2,6,5,4,"Too much theory, less engagement",Neutral
119,280,9,10,4,7,7,3,5,4,Loved the interactive session,Positive
120,976,5,2,5,5,7,9,4,3,Very helpful and interactive session,Positive
121,481,9,10,8,9,1,3,1,9,The class was too fast paced,Positive
122,80,7,6,4,1,5,6,1,8,Great use of visuals,Positive
123,473,10,10,7,5,2,6,10,5,More examples should be added,Positive
124,762,10,7,5,7,8,9,3,4,Explain topics in a simpler way,Neutral
125,385,5,2,6,7,3,2,10,1,Assignments were challenging,Positive
126,195,9,7,5,5,10,10,5,1,Include more practicals,Positive
127,144,8,6,5,6,3,8,2,6,Helped clear my doubts clearly,Positive
128,767,10,10,8,3,9,6,4,8,"Too much theory, less engagement",Neutral
129,300,6,8,4,5,5,9,5,4,Loved the interactive session,Positive
130,580,5,2,5,8,6,5,4,9,Very helpful and interactive session,Positive
131,216,5,9,8,2,4,8,9,10,The class was too fast paced,Positive
132,583,9,3,4,6,5,3,8,7,Great use of visuals,Positive
133,881,7,9,5,9,4,5,4,8,More examples should be added,Positive
134,488,8,8,6,9,7,4,6,1,Explain topics in a simpler way,Neutral
135,892,5,8,8,9,6,9,10,6,Assignments were challenging,Positive
136,152,7,2,5,1,5,10,5,6,Include more practicals,Positive
137,925,7,10,6,7,9,10,1,3,Helped clear my doubts clearly,Positive
138,729,9,9,8,7,5,4,5,5,"Too much theory, less engagement",Neutral
139,647,5,5,8,8,9,6,9,8,Loved the interactive session,Positive
140,686,8,6,5,5,2,6,5,8,Very helpful and interactive session,Positive
141,93,9,10,6,4,9,6,7,8,The class was too fast paced,Positive
142,485,8,4,7,1,4,7,1,4,Great use of visuals,Positive
143,59,5,8,5,6,10,3,4,10,More examples should be added,Positive
144,907,10,4,7,6,1,2,5,1,Explain topics in a simpler way,Neutral
145,158,10,6,5,6,2,10,3,8,Assignments were challenging,Positive
146,955,10,4,4,1,10,1,10,10,Include more practicals,Positive
147,758,8,3,7,7,9,6,7,5,Helped clear my doubts clearly,Positive
148,605,6,4,4,4,7,5,5,2,"Too much theory, less engagement",Neutral
149,475,10,6,4,9,3,1,6,7,Loved the interactive session,Positive
150,154,9,7,4,8,2,6,3,9,Very helpful and interactive session,Positive
151,79,6,4,6,6,6,4,9,10,The class was too fast paced,Positive
152,36,10,6,5,2,1,9,9,6,Great use of visuals,Positive
153,562,6,3,6,7,8,7,4,1,More examples should be added,Positive
154,231,10,7,8,1,3,3,3,3,Explain topics in a simpler way,Neutral
155,869,8,7,6,2,9,4,1,7,Assignments were challenging,Positive
156,608,7,4,6,5,4,7,8,7,Include more practicals,Positive
157,846,10,7,7,4,7,10,7,1,Helped clear my doubts clearly,Positive
158,542,10,4,7,7,2,2,5,9,"Too much theory, less engagement",Neutral
159,941,9,3,7,2,9,7,3,1,Loved the interactive session,Positive
160,919,10,2,8,5,6,3,8,5,Very helpful and interactive session,Positive
161,352,6,2,6,3,5,3,8,6,The class was too fast paced,Positive
162,839,9,2,5,10,4,4,9,1,Great use of visuals,Positive
163,266,8,8,5,6,6,8,2,2,More examples should be added,Positive
164,298,8,4,8,9,7,1,7,3,Explain topics in a simpler way,Neutral
165,929,10,2,6,1,1,9,9,7,Assignments were challenging,Positive
166,574,6,4,8,5,9,5,7,10,Include more practicals,Positive
167,250,5,7,7,3,1,6,3,1,Helped clear my doubts clearly,Positive
168,616,9,8,6,9,6,3,5,8,"Too much theory, less engagement",Neutral
169,164,8,5,7,10,8,9,10,1,Loved the interactive session,Positive
170,827,6,3,4,9,7,8,7,6,Very helpful and interactive session,Positive
171,228,7,6,6,1,6,6,6,9,The class was too fast paced,Positive
172,787,10,10,5,10,1,9,3,8,Great use of visuals,Positive
173,317,8,8,4,1,10,10,9,1,More examples should be added,Positive
174,110,9,6,4,1,4,7,9,5,Explain topics in a simpler way,Neutral
175,165,6,2,6,2,2,10,2,2,Assignments were challenging,Positive
176,701,5,9,7,1,9,9,1,9,Include more practicals,Positive
177,362,7,9,6,7,4,8,1,2,Helped clear my doubts clearly,Positive
178,890,8,7,5,3,9,1,4,5,"Too much theory, less engagement",Neutral
179,728,10,9,4,8,5,2,3,10,Loved the interactive session,Positive
180,466,9,8,5,5,6,2,10,4,Very helpful and interactive session,Positive
181,709,9,3,6,4,4,8,10,1,The class was too fast paced,Positive
182,482,10,3,4,3,10,1,8,5,Great use of visuals,Positive
183,406,9,10,6,1,6,1,9,2,More examples should be added,Positive
184,66,8,5,8,7,6,1,9,9,Explain topics in a simpler way,Neutral
185,862,6,5,6,5,7,2,10,8,Assignments were challenging,Positive
186,61,9,8,6,5,3,10,6,6,Include more practicals,Positive
187,111,7,9,7,1,10,10,3,10,Helped clear my doubts clearly,Positive
188,147,6,8,4,6,9,6,8,7,"Too much theory, less engagement",Neutral
189,211,7,4,4,3,7,8,7,10,Loved the interactive session,Positive
190,996,6,5,6,10,8,7,8,4,Very helpful and interactive session,Positive
191,459,8,5,8,6,6,1,8,4,The class was too fast paced,Positive
192,81,5,5,6,5,7,3,9,5,Great use of visuals,Positive
193,288,5,9,6,9,4,4,2,6,More examples should be added,Positive
194,6,7,10,8,3,3,4,1,2,Explain topics in a simpler way,Neutral
195,547,6,6,8,5,1,2,2,8,Assignments were challenging,Positive
196,30,6,2,7,5,1,10,9,10,Include more practicals,Positive
197,445,9,4,4,2,4,8,1,6,Helped clear my doubts clearly,Positive
198,591,6,9,8,5,10,6,2,10,"Too much theory, less engagement",Neutral
199,770,10,10,5,7,10,7,7,10,Loved the interactive session,Positive
200,484,9,6,8,10,3,2,8,4,Very helpful and interactive session,Positive
201,180,8,4,4,1,6,9,6,1,The class was too fast paced,Positive
202,946,5,5,5,6,1,3,10,5,Great use of visuals,Positive
203,901,9,8,6,1,2,9,8,2,More examples should be added,Positive
204,517,10,5,7,7,5,10,6,5,Explain topics in a simpler way,Neutral
205,545,9,4,8,1,8,6,2,4,Assignments were challenging,Positive
206,918,8,3,8,9,9,1,6,1,Include more practicals,Positive
207,652,8,3,4,8,3,2,2,3,Helped clear my doubts clearly,Positive
208,471,10,10,4,8,2,2,4,7,"Too much theory, less engagement",Neutral
209,323,6,8,7,5,4,1,9,3,Loved the interactive session,Positive
210,276,8,5,7,9,1,10,1,2,Very helpful and interactive session,Positive
211,672,7,8,5,6,5,10,5,10,The class was too fast paced,Positive
212,337,10,7,6,8,9,5,1,1,Great use of visuals,Positive
213,468,7,7,8,4,2,1,5,10,More examples should be added,Positive
214,380,8,8,4,8,2,4,9,2,Explain topics in a simpler way,Neutral
215,755,9,8,7,2,9,6,3,7,Assignments were challenging,Positive
216,267,8,9,4,4,8,4,8,1,Include more practicals,Positive
217,598,9,3,4,9,3,4,5,1,Helped clear my doubts clearly,Positive
218,128,6,2,6,1,9,3,9,2,"Too much theory, less engagement",Neutral
219,444,8,2,6,10,7,2,4,8,Loved the interactive session,Positive
220,572,6,5,4,4,8,6,8,9,Very helpful and interactive session,Positive
221,319,8,3,6,6,7,10,8,4,The class was too fast paced,Positive
222,390,8,6,7,5,1,4,3,9,Great use of visuals,Positive
223,176,10,2,6,7,4,10,1,3,More examples should be added,Positive
224,883,7,4,4,2,8,6,7,4,Explain topics in a simpler way,Neutral
225,831,5,2,8,3,5,10,7,7,Assignments were challenging,Positive
226,220,10,5,8,7,9,7,2,7,Include more practicals,Positive
227,17,7,6,5,3,9,5,5,2,Helped clear my doubts clearly,Positive
228,938,10,10,6,5,2,9,9,9,"Too much theory, less engagement",Neutral
229,651,8,7,6,3,9,10,6,1,Loved the interactive session,Positive
230,953,5,10,8,10,6,4,6,4,Very helpful and interactive session,Positive
231,902,5,8,6,10,4,5,5,9,The class was too fast paced,Positive
232,167,7,7,5,8,6,9,9,8,Great use of visuals,Positive
233,669,9,3,4,5,2,2,1,6,More examples should be added,Positive
234,859,8,3,5,9,10,3,1,6,Explain topics in a simpler way,Neutral
235,120,8,4,7,5,4,4,10,6,Assignments were challenging,Positive
236,293,10,4,7,1,6,7,7,4,Include more practicals,Positive
237,789,10,2,8,7,9,8,1,4,Helped clear my doubts clearly,Positive
238,182,5,2,7,2,3,6,1,9,"Too much theory, less engagement",Neutral
239,369,10,5,4,4,3,7,4,10,Loved the interactive session,Positive
240,207,6,8,6,7,9,7,2,5,Very helpful and interactive session,Positive
241,842,10,7,5,3,3,6,4,6,The class was too fast paced,Positive
242,38,5,8,7,6,10,8,9,5,Great use of visuals,Positive
243,495,5,4,7,9,6,10,5,9,More examples should be added,Positive
244,942,10,6,8,3,7,8,4,5,Explain topics in a simpler way,Neutral
245,752,10,7,4,4,4,9,10,7,Assignments were challenging,Positive
246,940,7,3,6,9,10,8,3,5,Include more practicals,Positive
247,648,5,7,7,9,6,3,10,3,Helped clear my doubts clearly,Positive
248,125,6,2,4,5,9,7,7,7,"Too much theory, less engagement",Neutral
249,516,10,2,8,9,2,3,3,1,Loved the interactive session,Positive
250,963,9,6,4,5,3,3,6,6,Very helpful and interactive session,Positive
251,215,5,6,6,2,1,9,5,8,The class was too fast paced,Positive
252,823,7,5,8,3,4,3,1,10,Great use of visuals,Positive
253,840,5,7,5,6,9,9,10,6,More examples should be added,Positive
254,429,8,3,5,1,8,1,8,9,Explain topics in a simpler way,Neutral
255,109,6,3,5,6,1,6,6,10,Assignments were challenging,Positive
256,795,6,9,8,4,2,6,10,6,Include more practicals,Positive
257,760,9,4,4,3,8,5,10,1,Helped clear my doubts clearly,Positive
258,536,10,10,4,7,8,7,6,2,"Too much theory, less engagement",Neutral
259,888,6,6,5,2,3,6,6,3,Loved the interactive session,Positive
260,719,10,10,8,7,6,10,6,4,Very helpful and interactive session,Positive
261,654,6,4,4,9,5,8,8,2,The class was too fast paced,Positive
262,947,7,3,8,1,5,9,7,2,Great use of visuals,Positive
263,403,5,7,6,6,5,6,4,6,More examples should be added,Positive
264,124,9,9,7,9,1,9,4,3,Explain topics in a simpler way,Neutral
265,548,9,8,6,7,1,2,7,6,Assignments were challenging,Positive
266,880,7,3,6,3,5,3,3,10,Include more practicals,Positive
267,939,10,10,7,4,1,2,3,9,Helped clear my doubts clearly,Positive
268,166,6,10,4,4,4,8,4,6,"Too much theory, less engagement",Neutral
269,885,5,6,7,7,2,2,5,7,Loved the interactive session,Positive
270,112,7,9,6,9,1,7,1,2,Very helpful and interactive session,Positive
271,811,8,8,8,6,1,4,9,1,The class was too fast paced,Positive
272,213,10,8,4,10,1,5,6,2,Great use of visuals,Positive
273,375,10,4,4,1,3,4,7,9,More examples should be added,Positive
274,897,6,7,4,1,9,8,8,7,Explain topics in a simpler way,Neutral
275,460,7,8,5,6,7,7,6,7,Assignments were challenging,Positive
276,416,6,2,5,8,9,6,3,7,Include more practicals,Positive
277,571,8,9,7,3,1,8,9,7,Helped clear my doubts clearly,Positive
278,744,8,5,7,3,10,4,6,7,"Too much theory, less engagement",Neutral
279,378,9,8,7,2,4,7,2,6,Loved the interactive session,Positive
280,121,5,9,5,2,4,5,6,6,Very helpful and interactive session,Positive
281,462,10,4,8,5,4,6,4,7,The class was too fast paced,Positive
282,777,8,6,4,6,4,7,10,1,Great use of visuals,Positive
283,845,5,10,6,8,4,4,4,5,More examples should be added,Positive
284,533,6,10,5,7,2,5,10,10,Explain topics in a simpler way,Neutral
285,450,5,2,6,2,4,5,1,4,Assignments were challenging,Positive
286,717,6,2,4,6,6,2,6,9,Include more practicals,Positive
287,469,10,8,6,1,3,5,8,10,Helped clear my doubts clearly,Positive
288,670,7,7,8,1,6,1,2,1,"Too much theory, less engagement",Neutral
289,137,8,2,5,2,4,9,7,8,Loved the interactive session,Positive
290,801,10,7,4,3,6,1,10,4,Very helpful and interactive session,Positive
291,315,5,10,5,10,8,4,8,4,The class was too fast paced,Positive
292,153,7,7,5,3,8,9,8,9,Great use of visuals,Positive
293,190,8,6,7,5,6,4,3,8,More examples should be added,Positive
294,22,7,9,4,1,2,8,10,4,Explain topics in a simpler way,Neutral
295,949,9,8,7,1,7,6,9,4,Assignments were challenging,Positive
296,523,10,2,6,9,7,5,10,9,Include more practicals,Positive
297,527,5,6,5,2,8,6,9,8,Helped clear my doubts clearly,Positive
298,461,7,10,7,6,6,8,4,9,"Too much theory, less engagement",Neutral
299,244,5,8,4,9,3,10,1,3,Loved the interactive session,Positive
300,363,9,3,8,10,2,7,5,1,Very helpful and interactive session,Positive
301,610,8,10,6,8,2,1,5,1,The class was too fast paced,Positive
302,381,9,2,8,8,1,9,1,2,Great use of visuals,Positive
303,954,8,8,6,3,9,5,7,2,More examples should be added,Positive
304,604,10,9,8,9,4,8,7,9,Explain topics in a simpler way,Neutral
305,414,10,6,4,8,2,9,9,3,Assignments were challenging,Positive
306,151,8,7,5,10,8,3,8,6,Include more practicals,Positive
307,721,6,9,4,1,4,10,10,9,Helped clear my doubts clearly,Positive
308,664,10,8,7,4,8,2,1,10,"Too much theory, less engagement",Neutral
309,956,7,2,6,5,2,3,8,7,Loved the interactive session,Positive
310,747,5,3,5,6,5,10,3,6,Very helpful and interactive session,Positive
311,438,9,6,5,9,2,3,9,3,The class was too fast paced,Positive
312,975,5,10,4,8,7,6,8,3,Great use of visuals,Positive
313,277,5,6,8,7,2,7,1,10,More examples should be added,Positive
314,312,7,2,7,6,6,3,7,2,Explain topics in a simpler way,Neutral
315,565,10,9,7,10,4,8,5,4,Assignments were challenging,Positive
316,739,8,7,5,10,1,1,8,1,Include more practicals,Positive
317,584,8,8,5,8,6,6,9,4,Helped clear my doubts clearly,Positive
318,894,6,3,5,4,7,1,5,5,"Too much theory, less engagement",Neutral
319,270,9,10,5,9,6,4,7,7,Loved the interactive session,Positive
320,966,7,4,5,3,1,8,10,2,Very helpful and interactive session,Positive
321,489,7,2,5,8,1,1,8,8,The class was too fast paced,Positive
322,665,6,3,4,2,8,5,8,5,Great use of visuals,Positive
323,71,9,10,8,4,9,3,8,2,More examples should be added,Positive
324,603,7,2,7,1,7,7,1,7,Explain topics in a simpler way,Neutral
325,196,8,10,8,10,6,7,7,7,Assignments were challenging,Positive
326,804,9,3,7,6,10,7,9,7,Include more practicals,Positive
327,837,5,10,4,1,4,8,9,1,Helped clear my doubts clearly,Positive
328,530,6,5,4,9,1,2,3,6,"Too much theory, less engagement",Neutral
329,720,6,6,6,9,10,4,6,7,Loved the interactive session,Positive
330,272,5,4,6,4,4,7,7,9,Very helpful and interactive session,Positive
331,984,5,10,6,4,2,10,4,6,The class was too fast paced,Positive
332,185,10,3,8,4,1,10,7,9,Great use of visuals,Positive
333,487,6,6,4,2,10,10,1,9,More examples should be added,Positive
334,75,8,9,8,6,2,7,9,10,Explain topics in a simpler way,Neutral
335,718,6,3,6,7,6,6,2,6,Assignments were challenging,Positive
336,496,10,7,4,6,10,5,3,6,Include more practicals,Positive
337,630,5,5,4,8,3,6,6,8,Helped clear my doubts clearly,Positive
338,637,8,10,5,6,10,8,2,2,"Too much theory, less engagement",Neutral
339,360,9,9,8,2,3,1,8,6,Loved the interactive session,Positive
340,183,6,7,5,5,4,7,1,9,Very helpful and interactive session,Positive
341,689,10,8,7,8,1,9,5,10,The class was too fast paced,Positive
342,236,6,9,6,4,1,2,8,4,Great use of visuals,Positive
343,768,6,6,6,3,5,9,8,3,More examples should be added,Positive
344,316,7,2,7,8,6,4,2,9,Explain topics in a simpler way,Neutral
345,396,6,10,4,6,1,2,4,10,Assignments were challenging,Positive
346,212,6,4,4,6,5,10,10,2,Include more practicals,Positive
347,830,9,7,7,10,7,8,6,4,Helped clear my doubts clearly,Positive
348,209,9,8,5,3,3,10,7,2,"Too much theory, less engagement",Neutral
349,62,7,4,4,5,3,10,2,1,Loved the interactive session,Positive
350,447,8,7,7,1,4,7,10,9,Very helpful and interactive session,Positive
351,100,6,6,6,10,7,5,7,8,The class was too fast paced,Positive
352,305,10,8,8,4,6,3,10,4,Great use of visuals,Positive
353,494,10,6,6,6,4,10,2,9,More examples should be added,Positive
354,328,10,6,5,4,6,10,8,2,Explain topics in a simpler way,Neutral
355,854,8,2,8,4,6,2,4,7,Assignments were challenging,Positive
356,866,5,10,4,8,3,7,4,5,Include more practicals,Positive
357,943,8,9,7,10,6,7,7,6,Helped clear my doubts clearly,Positive
358,734,9,8,5,3,10,1,8,3,"Too much theory, less engagement",Neutral
359,189,9,3,6,2,3,8,10,7,Loved the interactive session,Positive
360,404,10,5,7,8,1,5,10,4,Very helpful and interactive session,Positive
361,518,7,4,8,5,7,9,2,6,The class was too fast paced,Positive
362,856,6,9,4,6,8,8,3,8,Great use of visuals,Positive
363,70,9,2,5,8,10,9,7,6,More examples should be added,Positive
364,457,7,4,8,2,3,6,8,4,Explain topics in a simpler way,Neutral
365,148,5,4,4,4,8,10,5,5,Assignments were challenging,Positive
366,958,10,10,5,8,5,10,7,8,Include more practicals,Positive
367,356,7,3,7,6,4,2,1,10,Helped clear my doubts clearly,Positive
368,793,10,9,6,4,7,6,8,3,"Too much theory, less engagement",Neutral
369,771,8,7,6,4,8,7,3,2,Loved the interactive session,Positive
370,452,5,6,7,9,7,8,6,1,Very helpful and interactive session,Positive
371,72,8,7,7,3,4,1,4,7,The class was too fast paced,Positive
372,710,7,2,6,5,7,7,6,10,Great use of visuals,Positive
373,980,6,3,7,1,5,4,9,4,More examples should be added,Positive
374,145,6,8,4,6,1,3,2,7,Explain topics in a simpler way,Neutral
375,960,6,9,6,1,3,3,5,8,Assignments were challenging,Positive
376,660,5,7,7,3,10,3,3,4,Include more practicals,Positive
377,987,9,10,7,8,7,3,8,7,Helped clear my doubts clearly,Positive
378,534,9,5,7,5,2,6,10,8,"Too much theory, less engagement",Neutral
379,858,9,5,5,3,2,2,7,7,Loved the interactive session,Positive
380,324,10,5,5,2,2,5,7,6,Very helpful and interactive session,Positive
381,884,7,4,7,10,5,1,7,4,The class was too fast paced,Positive
382,611,8,9,5,3,9,5,8,3,Great use of visuals,Positive
383,136,8,6,7,10,9,9,2,3,More examples should be added,Positive
384,705,9,3,6,3,3,5,1,2,Explain topics in a simpler way,Neutral
385,991,7,4,5,8,9,8,5,1,Assignments were challenging,Positive
386,676,9,8,5,7,4,10,2,6,Include more practicals,Positive
387,769,9,8,8,8,1,1,8,5,Helped clear my doubts clearly,Positive
388,246,7,10,8,8,4,10,3,8,"Too much theory, less engagement",Neutral
389,644,9,6,8,2,7,6,4,6,Loved the interactive session,Positive
390,263,7,9,4,7,9,8,10,7,Very helpful and interactive session,Positive
391,476,9,4,6,4,8,6,4,10,The class was too fast paced,Positive
392,697,7,7,6,1,8,10,5,2,Great use of visuals,Positive
393,95,7,2,5,5,9,6,8,3,More examples should be added,Positive
394,688,8,6,7,5,6,1,4,10,Explain topics in a simpler way,Neutral
395,633,8,2,4,7,4,6,7,4,Assignments were challenging,Positive
396,241,8,3,8,8,10,1,8,6,Include more practicals,Positive
397,524,9,8,4,6,10,1,9,10,Helped clear my doubts clearly,Positive
398,504,9,4,5,6,6,1,7,10,"Too much theory, less engagement",Neutral
399,417,9,6,7,9,5,1,7,2,Loved the interactive session,Positive
400,554,6,6,8,2,4,6,4,10,Very helpful and interactive session,Positive
401,656,6,2,7,2,5,6,9,9,The class was too fast paced,Positive
402,19,10,4,6,3,9,10,9,3,Great use of visuals,Positive
403,275,8,5,4,9,5,5,8,10,More examples should be added,Positive
404,478,5,10,7,6,8,7,3,9,Explain topics in a simpler way,Neutral
405,132,6,9,5,8,10,3,2,10,Assignments were challenging,Positive
